,id_num,store_name,address,tel,sector,menu,info,large_sector,city_province,city_county_district,detail_address,latitude_geocoding,longitude_geocoding,latitude_v_world,longitude_v_world,check_geo_result
0,2,강릉대 학사식당,강원특별자치도 강릉시 지변길 10(지변동),033-648-1135,한식_일반,김치찌개 6500원       원,"대학가주변으로 학생상대로 박리다매 영업, 지역평균가대비 29% 저렴",요식업,강원특별자치도,강릉시,지변길 10 (지변동),0.0,0.0,37.773412433,128.873774469,False
1,4,도리,강원특별자치도 강릉시 지변길 16(지변동),033-641-1231,한식_일반,김치찌개 6000원된장찌개       6000원,"대학가주변으로 학생상대로 박리다매 영업, 지역평균가대비 29% 저렴",요식업,강원특별자치도,강릉시,지변길 16 (지변동),0.0,0.0,37.773313547,128.873231874,False
2,7,대형생삼겹생선구이,강원특별자치도 강릉시 성덕포남로 103(입암동),033-651-7060,한식_육류,삼겹살200g 9000원       원,"가족이 운영하여 인건비 절감, 국내산만 사용 지역평균가대비 20%저렴",요식업,강원특별자치도,강릉시,성덕포남로 103 (입암동),0.0,0.0,37.76279523,128.915037679,False
3,8,황실헤어클럽,강원특별자치도 강릉시 중앙시장길 13(성남동),033-647-2885,이미용업,파마 20000원커트       7000원,"영업이윤 최소화, 커트 3,000원부터, 파마 10,000원부터 지역평균가대비 47%저렴",이미용업,강원특별자치도,강릉시,중앙시장길 13 (성남동),0.0,0.0,37.753406953,128.897867702,False
4,9,금빗미용실,강원특별자치도 강릉시 중앙시장2길 56(성남동),033-643-4590,이미용업,파마 15000원커트       6000원,"노인계층을 상대로 영업이윤 최소화, 지역평균가대비 47%저렴",이미용업,강원특별자치도,강릉시,중앙시장2길 56 (성남동),0.0,0.0,37.753630662,128.900755349,False
5,13,진희미용실,강원특별자치도 강릉시 율곡로 2755(노암동),033-643-2025,이미용업,파마 20000원커트       7000원,"주택가에 위치하며, 독거노인, 장애인, 소년소녀가장무료, 1996년 시장표창, 지역평균가대비 47% 저렴",이미용업,강원특별자치도,강릉시,율곡로 2755 (노암동),37.7524436,128.9046438,37.752434675,128.904657423,False
6,16,성심이용소,강원특별자치도 강릉시 연화봉길 13(노암동),033-645-2856,이미용업,이용료 10000원       원,"주택가에 위치하며, 영업이윤 최소화, 지역평균가대비 24% 저렴",이미용업,강원특별자치도,강릉시,연화봉길 13 (노암동),0.0,0.0,37.749168493,128.899727814,False
7,17,흥일세탁소,강원특별자치도 강릉시 임영로 37(노암동),033-642-5732,세탁업,정장한벌 5000원       원,"주택가에 위치하며, 고객의 대부분이 10년 이상 단골 고객임, 지역평균가대비 18% 저렴",세탁업,강원특별자치도,강릉시,임영로 37 (노암동),0.0,0.0,37.74578117,128.896664526,False
8,18,협동이용소,강원특별자치도 강릉시 강동면 강동초교길42,033-645-7135,이미용업,이용료 10000원       원,"영업이윤 최소화, 지역평균가대비 33% 저렴",이미용업,강원특별자치도,강릉시,강동면 강동초교길42,0.0,0.0,37.721532316,128.961476669,False
9,19,레인보우크리닝,강원특별자치도 강릉시 하슬라로232번길 21-9(교동),033-641-3354,세탁업,정장한벌 5000원수선료       2000원,"영업이윤 최소화, 지역평균가대비 17% 저렴",세탁업,강원특별자치도,강릉시,하슬라로232번길 21-9 (교동),0.0,0.0,37.771168005,128.878178528,False
10,21,고은아미용실,강원특별자치도 강릉시 강릉대로159번안길 12(교동),033-647-2732,이미용업,파마 15000원커트       7000원,"(구)교동파출소부근 상가밀집지역에 있으며, 영업이윤 최소화, 지역평균가대비 47% 저렴",이미용업,강원특별자치도,강릉시,강릉대로159번안길 12 (교동),37.757729,128.8890944,37.757728588,128.889093506,False
11,22,꺽다리아줌마해장국,강원특별자치도 강릉시 하슬라로206번길 7-1(교동),033-641-6559,한식_일반,갈비탕 6000원       원,"택지개발단지에 위치하며, 영업이윤 최소화, 지역평균가대비 23% 저렴",요식업,강원특별자치도,강릉시,하슬라로206번길 7-1 (교동),0.0,0.0,37.768109365,128.876415866,False
12,23,영세감자탕,강원특별자치도 강릉시 원대로 29(교동),033-641-6978,한식_일반,감자탕(소) 20000원된장찌개       5000원,"터미널 부근에 위치해 관광객들이 많이 찾아 박리다매 영업, 지역평균가대비 23% 저렴 한결같은 맛과 가족경영",요식업,강원특별자치도,강릉시,원대로 29 (교동),0.0,0.0,37.757340536,128.881489493,False
13,25,동산숯불구이,강원특별자치도 강릉시 율곡로2968번길 25(교동),033-646-2239,한식_육류,삼겹살(냉동)200g 10000원       원,"형제들이 같은업종에 종사 모든 식자재는 도매시장에서 대량구입하여 나눠 쓰므로 재료비를 절감하고 좋은 정보를 상호 공유하는 것이 가격 유지의 노하우, 지역평균가대비 20% 저렴",요식업,강원특별자치도,강릉시,율곡로2968번길 25 (교동),37.7688478,128.8935616,37.768900782,128.893432571,False
14,27,한신세탁,강원특별자치도 강릉시 명륜로95-7,033-641-2395,세탁업,정장한벌 5000원       원,"아파트 단지내에 위치하며, 영업이윤 최소화, 지역평균가대비 17% 저렴",세탁업,강원특별자치도,강릉시,명륜로95-7,0.0,0.0,37.768330688,128.899492078,False
